studentid,userid
620000001,1
620000002,2
620000003,3
620000004,4
620000005,5
620000006,6
620000007,7
620000008,8
620000009,9
620000010,10
620000011,11
620000012,12
620000013,13
620000014,14
620000015,15
620000016,16
620000017,17
620000018,18
620000019,19
620000020,20
620000021,21
620000022,22
620000023,23
620000024,24
620000025,25
620000026,26
620000027,27
620000028,28
620000029,29
620000030,30
620000031,31
620000032,32
620000033,33
620000034,34
620000035,35
620000036,36
620000037,37
620000038,38
620000039,39
620000040,40
620000041,41
620000042,42
620000043,43
620000044,44
620000045,45
620000046,46
620000047,47
620000048,48
620000049,49
620000050,50
620000051,51
620000052,52
620000053,53
620000054,54
620000055,55
620000056,56
620000057,57
620000058,58
620000059,59
620000060,60
620000061,61
620000062,62
620000063,63
620000064,64
620000065,65
620000066,66
620000067,67
620000068,68
620000069,69
620000070,70
620000071,71
620000072,72
620000073,73
620000074,74
620000075,75
620000076,76
620000077,77
620000078,78
620000079,79
620000080,80
620000081,81
620000082,82
620000083,83
620000084,84
620000085,85
620000086,86
620000087,87
620000088,88
620000089,89
620000090,90
620000091,91
620000092,92
620000093,93
620000094,94
620000095,95
620000096,96
620000097,97
620000098,98
620000099,99
620000100,100
620000101,101
620000102,102
620000103,103
620000104,104
620000105,105
620000106,106
620000107,107
620000108,108
620000109,109
620000110,110
620000111,111
620000112,112
620000113,113
620000114,114
620000115,115
620000116,116
620000117,117
620000118,118
620000119,119
620000120,120
620000121,121
620000122,122
620000123,123
620000124,124
620000125,125
620000126,126
620000127,127
620000128,128
620000129,129
620000130,130
620000131,131
620000132,132
620000133,133
620000134,134
620000135,135
620000136,136
620000137,137
620000138,138
620000139,139
620000140,140
620000141,141
620000142,142
620000143,143
620000144,144
620000145,145
620000146,146
620000147,147
620000148,148
620000149,149
620000150,150
620000151,151
620000152,152
620000153,153
620000154,154
620000155,155
620000156,156
620000157,157
620000158,158
620000159,159
620000160,160
620000161,161
620000162,162
620000163,163
620000164,164
620000165,165
620000166,166
620000167,167
620000168,168
620000169,169
620000170,170
620000171,171
620000172,172
620000173,173
620000174,174
620000175,175
620000176,176
620000177,177
620000178,178
620000179,179
620000180,180
620000181,181
620000182,182
620000183,183
620000184,184
620000185,185
620000186,186
620000187,187
620000188,188
620000189,189
620000190,190
620000191,191
620000192,192
620000193,193
620000194,194
620000195,195
620000196,196
620000197,197
620000198,198
620000199,199
620000200,200
620000201,201
620000202,202
620000203,203
620000204,204
620000205,205
620000206,206
620000207,207
620000208,208
620000209,209
620000210,210
620000211,211
620000212,212
620000213,213
620000214,214
620000215,215
620000216,216
620000217,217
620000218,218
620000219,219
620000220,220
620000221,221
620000222,222
620000223,223
620000224,224
620000225,225
