course_code,course_name,date_created
Acoustics,Introduction to Data Science,2022-05-08
African Archaeology,Introduction to Nursing,2022-04-26
Analytic Philosophy,Introduction to Innovation and Creativity,2022-06-22
Anatomical Pathology,Introduction to Employee Relations Management,2022-06-25
Anglican Theology,Introduction to Auditing,2022-05-28
Anthropology,Introduction to Financial Management,2022-05-26
Archaeology of Israel,Introduction to Organizational Behavior,2022-05-23
Biblical History,Introduction to Supply Chain Analytics,2022-07-04
Biology,Introduction to Statistics,2022-07-11
Biostatistics,Introduction to Business Intelligence,2022-07-07
Botany,Introduction to Business Development,2022-07-03
British Literature,Introduction to Pharmacy,2022-04-28
Cell Biology,Introduction to Machine Learning Fundamentals,2022-07-14
Cetology,Introduction to Teamwork,2022-06-05
Community Informatics,Introduction to Consumer Behavior,2022-06-15
Computational Linguistics,Introduction to Salesforce Management,2022-07-06
Computer Security and Reliability,Introduction to Mobile App Development,2022-05-13
Conservation Biology,Introduction to Business Communication,2022-06-26
Cosmochemistry,Introduction to Business Models and Strategy,2022-07-09
Course 1,Introduction to Computer Science,2022-01-01
Course 10,Introduction to Sociology,2022-01-10
Course 100,Introduction to History,2022-04-13
Course 101,Introduction to Music,2022-04-15
Course 102,Introduction to Theater,2022-04-16
Course 103,Introduction to Film Studies,2022-04-17
Course 104,Introduction to Communication Studies,2022-04-18
Course 105,Introduction to Journalism,2022-04-19
Course 106,Introduction to Biology,2022-04-20
Course 107,Introduction to Chemistry,2022-04-21
Course 108,Introduction to Physics,2022-04-22
Course 109,Introduction to Engineering,2022-04-23
Course 11,Physics for Engineers,2022-01-11
Course 110,Introduction to Computer Science,2022-04-24
Course 111,Introduction to Medical Terminology,2022-04-25
Course 12,Spanish for Beginners,2022-01-12
Course 13,Principles of Marketing,2022-01-13
Course 14,Organic Chemistry,2022-01-14
Course 15,Introduction to Statistics,2022-01-15
Course 16,Introduction to Anthropology,2022-01-16
Course 17,Introduction to Business Management,2022-01-17
Course 18,Introduction to Political Science,2022-01-18
Course 19,Introduction to Ethics,2022-01-19
Course 2,Calculus I,2022-01-02
Course 20,Introduction to Environmental Science,2022-01-20
Course 21,Introduction to Human Anatomy,2022-01-21
Course 22,Introduction to Linguistics,2022-01-22
Course 23,Introduction to Geology,2022-01-23
Course 24,Introduction to Astronomy,2022-01-24
Course 25,Introduction to Cultural Studies,2022-01-25
Course 26,Introduction to Gender Studies,2022-01-26
Course 27,Introduction to Film Studies,2022-01-27
Course 28,Introduction to Music Theory,2022-01-28
Course 29,Introduction to World Religions,2022-01-30
Course 3,English Composition,2022-01-03
Course 30,Introduction to Public Speaking,2022-01-31
Course 31,Introduction to Information Technology,2022-02-01
Course 32,Introduction to Artificial Intelligence,2022-02-03
Course 33,Introduction to Data Science,2022-02-04
Course 34,Introduction to Web Development,2022-02-05
Course 35,Introduction to Graphic Design,2022-02-06
Course 36,Introduction to User Experience Design,2022-02-07
Course 37,Introduction to Mobile App Development,2022-02-08
Course 38,Introduction to Sound Muting,2022-02-09
Course 39,Introduction to Big Data Analytics,2022-02-10
Course 4,History of Art,2022-01-04
Course 40,Introduction to Virtual Reality,2022-02-11
Course 41,Introduction to Augmented Reality,2022-02-12
Course 42,Introduction to Blockchain Technology,2022-02-13
Course 43,Introduction to World History,2022-02-14
Course 44,Introduction to Human Physiology,2022-02-15
Course 45,Introduction to Genetics,2022-02-16
Course 46,Introduction to Pharmacology,2022-02-17
Course 47,Introduction to Microbiology,2022-02-18
